V1,V2,V3
-151.929726492314,-8,-4696
-151.863046516271,-8,-4681
-151.796366540228,-8,-4695
-151.729686564184,-8,-4740
-151.663006588141,-8,-5038
-151.596326612098,-8,-5321
-151.529646636055,-8,-5202
-151.462966660012,-8,-4569
-151.396286683969,-8,-3843
-151.329606707926,-8,-2744
-151.262926731883,-8,-1921
-151.196246755839,-8,-2938
-151.129566779796,-8,-4259
-151.062886803753,-8,-4868
-150.99620682771,-8,-5317
-150.929526851667,-8,-5465
-150.862846875624,-8,-5415
-150.796166899581,-8,-5277
-150.729486923538,-8,-5232
-150.662806947495,-8,-5298
-150.596126971451,-8,-5237
-150.529446995408,-8,-5196
-150.462767019365,-8,-5198
-150.396087043322,-8,-5171
-150.329407067279,-8,-5165
-150.262727091236,-8,-5154
-150.196047115193,-8,-5156
-150.12936713915,-8,-5137
-150.062687163106,-8,-5144
-149.996007187063,-8,-5141
-149.92932721102,-8,-5140
-149.862647234977,-8,-5118
-149.795967258934,-8,-5096
-149.729287282891,-8,-4974
-149.662607306848,-8,-5001
-149.595927330805,-8,-5023
-149.529247354761,-8,-5011
-149.462567378718,-8,-5050
-149.395887402675,-8,-5106
-149.329207426632,-8,-5181
-149.262527450589,-8,-5062
-149.195847474546,-8,-4974
-149.129167498503,-8,-5056
-149.06248752246,-8,-5095
-148.995807546416,-8,-5027
-148.929127570373,-8,-4990
-148.86244759433,-8,-4991
-148.795767618287,-8,-5122
-148.729087642244,-8,-5255
-148.662407666201,-8,-5254
-148.595727690158,-8,-5247
-148.529047714115,-8,-5103
-148.462367738071,-8,-4942
-148.395687762028,-8,-5165
-148.329007785985,-8,-5219
-148.262327809942,-8,-5190
-148.195647833899,-8,-5190
-148.128967857856,-8,-5290
-148.062287881813,-8,-5245
-147.99560790577,-8,-5451
-147.928927929726,-8,-5722
-147.862247953683,-8,-5743
-147.79556797764,-8,-5105
-147.728888001597,-8,-4684
-147.662208025554,-8,-5432
-147.595528049511,-8,-5368
-147.528848073468,-8,-5330
-147.462168097425,-8,-5471
-147.395488121382,-8,-5234
-147.328808145338,-8,-5208
-147.262128169295,-8,-5212
-147.195448193252,-8,-5246
-147.128768217209,-8,-5341
-147.062088241166,-8,-5343
-146.995408265123,-8,-5230
-146.92872828908,-8,-5319
-146.862048313037,-8,-5354
-146.795368336993,-8,-5190
-146.72868836095,-8,-5228
-146.662008384907,-8,-5193
-146.595328408864,-8,-5226
-146.528648432821,-8,-5250
-146.461968456778,-8,-5230
-146.395288480735,-8,-5161
-146.328608504692,-8,-5130
-146.261928528648,-8,-5186
-146.195248552605,-8,-5282
-146.128568576562,-8,-5315
-146.061888600519,-8,-4963
-145.995208624476,-8,-4548
-145.928528648433,-8,-5001
-145.86184867239,-8,-5077
-145.795168696347,-8,-5094
-145.728488720303,-8,-4920
-145.66180874426,-8,-4910
-145.595128768217,-8,-4772
-145.528448792174,-8,-4811
-145.461768816131,-8,-5112
-145.395088840088,-8,-5098
-145.328408864045,-8,-5058
-145.261728888002,-8,-5040
-145.195048911958,-8,-4938
-145.128368935915,-8,-4840
-145.061688959872,-8,-4773
-144.995008983829,-8,-4781
-144.928329007786,-8,-4742
-144.861649031743,-8,-4654
-144.7949690557,-8,-4607
-144.728289079657,-8,-4649
-144.661609103614,-8,-4730
-144.59492912757,-8,-4747
-144.528249151527,-8,-4759
-144.461569175484,-8,-4699
-144.394889199441,-8,-4579
-144.328209223398,-8,-4396
-144.261529247355,-8,-4268
-144.194849271312,-8,-4348
-144.128169295269,-8,-4456
-144.061489319225,-8,-4456
-143.994809343182,-8,-4472
-143.928129367139,-8,-4510
-143.861449391096,-8,-4457
-143.794769415053,-8,-4427
-143.72808943901,-8,-4453
-143.661409462967,-8,-4484
-143.594729486924,-8,-4522
-143.52804951088,-8,-4471
-143.461369534837,-8,-4377
-143.394689558794,-8,-4389
-143.328009582751,-8,-4387
-143.261329606708,-8,-4239
-143.194649630665,-8,-4214
-143.127969654622,-8,-4276
-143.061289678579,-8,-4352
-142.994609702535,-8,-4463
-142.927929726492,-8,-4466
-142.861249750449,-8,-4415
-142.794569774406,-8,-4414
-142.727889798363,-8,-4426
-142.66120982232,-8,-4380
-142.594529846277,-8,-4406
-142.527849870234,-8,-4508
-142.46116989419,-8,-4446
-142.394489918147,-8,-4268
-142.327809942104,-8,-4339
-142.261129966061,-8,-4387
-142.194449990018,-8,-4306
-142.127770013975,-8,-4245
-142.061090037932,-8,-4162
-141.994410061889,-8,-4056
-141.927730085845,-8,-4256
-141.861050109802,-8,-4373
-141.794370133759,-8,-4335
-141.727690157716,-8,-4286
-141.661010181673,-8,-4176
-141.59433020563,-8,-4029
-141.527650229587,-8,-3771
-141.460970253544,-8,-3057
-141.3942902775,-8,-2791
-141.327610301457,-8,-2858
-141.260930325414,-8,-2834
-141.194250349371,-8,-3081
-141.127570373328,-8,-3158
-141.060890397285,-8,-2449
-140.994210421242,-8,-2055
-140.927530445199,-8,-2448
-140.860850469156,-8,-2136
-140.794170493112,-8,-1105
-140.727490517069,-8,-88
-140.660810541026,-8,-122
-140.594130564983,-8,-1043
-140.52745058894,-8,-2537
-140.460770612897,-8,-3041
-140.394090636854,-8,-3083
-140.327410660811,-8,-2932
-140.260730684767,-8,-2879
-140.194050708724,-8,-2461
-140.127370732681,-8,-1841
-140.060690756638,-8,-2014
-139.994010780595,-8,-1950
-139.927330804552,-8,-2692
-139.860650828509,-8,-3012
-139.793970852466,-8,-3106
-139.727290876422,-8,-2731
-139.660610900379,-8,-1686
-139.593930924336,-8,-1753
-139.527250948293,-8,-3016
-139.46057097225,-8,-3683
-139.393890996207,-8,-3839
-139.327211020164,-8,-3951
-139.260531044121,-8,-3994
-139.193851068077,-8,-4030
-139.127171092034,-8,-4042
-139.060491115991,-8,-4114
-138.993811139948,-8,-4153
-138.927131163905,-8,-4092
-138.860451187862,-8,-4069
-138.793771211819,-8,-4031
-138.727091235776,-8,-4005
-138.660411259732,-8,-4060
-138.593731283689,-8,-4054
-138.527051307646,-8,-4084
-138.460371331603,-8,-4135
-138.39369135556,-8,-4124
-138.327011379517,-8,-4130
-138.260331403474,-8,-4144
-138.193651427431,-8,-4161
-138.126971451388,-8,-4178
-138.060291475344,-8,-4193
-137.993611499301,-8,-4221
-137.926931523258,-8,-4239
-137.860251547215,-8,-4252
-137.793571571172,-8,-4249
-137.726891595129,-8,-4250
-137.660211619086,-8,-4252
-137.593531643043,-8,-4255
-137.526851666999,-8,-4262
-137.460171690956,-8,-4274
-137.393491714913,-8,-4273
-137.32681173887,-8,-4272
-137.260131762827,-8,-4273
-137.193451786784,-8,-4285
-137.126771810741,-8,-4306
-137.060091834698,-8,-4343
-136.993411858654,-8,-4382
-136.926731882611,-8,-4382
-136.860051906568,-8,-4375
-136.793371930525,-8,-4387
-136.726691954482,-8,-4407
-136.660011978439,-8,-4390
-136.593332002396,-8,-4382
